C1:1
C2:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:1
J1:1
J2:1
J3:1
J4:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
Q8:1
R1:1
U1:1
U2:1
U3:1
U5:1
U6:1
